Main: Beginning execution
Main: infile  '../../adotout6.txt'
Main: outfile 'xout6.txt'
READ        0  1010000000001100
READ        1  0100000000100000
READ        2  1010000000001010
READ        3  1000000000001011
READ        4  0100000000001010
READ        5  1010000000001010
READ        6  1110000000000011
READ        7  0000000000000010
READ        8  1110000000000010
READ        9  0000000000000010
READ       10  1111111111111011
READ       11  0000000000000001
READ       12  0000000000110000
READ       13  1100110011001100
READ       14  1100110011001100
READ       15  1100110011001100
READ       16  1100110011001100
READ       17  1100110011001100
READ       18  1100110011001100
READ       19  1100110011001100
READ       20  1100110011001100
READ       21  1100110011001100
READ       22  1100110011001100
READ       23  1100110011001100
READ       24  1100110011001100
READ       25  1100110011001100
READ       26  1100110011001100
READ       27  1100110011001100
READ       28  1100110011001100
READ       29  1100110011001100
READ       30  1100110011001100
READ       31  1100110011001100
READ       32  1111000000000000
READ       33  1100110011001100
READ       34  1100110011001100
READ       35  1100110011001100
READ       36  1100110011001100
READ       37  1100110011001100
READ       38  1100110011001100
READ       39  1100110011001100
READ       40  1100110011001100
READ       41  1100110011001100
READ       42  1100110011001100
READ       43  1100110011001100
READ       44  1100110011001100
READ       45  1100110011001100
READ       46  1100110011001100
READ       47  1100110011001100
READ       48  1111000000000000
READ       49  1100110011001100
READ       50  1100110011001100
READ       51  1100110011001100
READ       52  1100110011001100
READ       53  1100110011001100
READ       54  1100110011001100
READ       55  1100110011001100
READ       56  1100110011001100
READ       57  1100110011001100
READ       58  1100110011001100
READ       59  1100110011001100
READ       60  1100110011001100
READ       61  1100110011001100
READ       62  1100110011001100
READ       63  1100110011001100
Main: Ending execution
