Main: Beginning execution
Main: infile  '../../adotoutfib.txt'
Main: outfile 'yfibout.txt'
READ        0  1010000000010111
READ        1  1000000000011011
READ        2  0100000000011011
READ        3  1010000000011001
READ        4  0100000000011010
READ        5  1010000000011001
READ        6  1000000000011000
READ        7  1110000000000011
READ        8  0101000000011011
READ        9  1011000000011011
READ       10  0100000000011001
READ       11  1010000000011010
READ       12  0100000000011000
READ       13  1010000000010111
READ       14  1000000000010110
READ       15  0100000000010111
READ       16  1010000000011011
READ       17  1000000000010110
READ       18  0100000000011011
READ       19  1010000000010111
READ       20  0000000000000011
READ       21  1110000000000010
READ       22  0000000000000001
READ       23  1111111111111011
READ       24  0000000000001000
READ       25  0000000000001101
READ       26  1111000000000000
READ       27  0000000000101000
READ       28  1100110011001100
READ       29  1100110011001100
READ       30  1100110011001100
READ       31  1100110011001100
READ       32  1100110011001100
READ       33  1100110011001100
READ       34  1100110011001100
READ       35  1100110011001100
READ       36  1100110011001100
READ       37  1100110011001100
READ       38  1100110011001100
READ       39  1100110011001100
READ       40  1111000000000000
READ       41  1100110011001100
READ       42  1100110011001100
READ       43  1100110011001100
READ       44  1100110011001100
READ       45  1100110011001100
READ       46  1100110011001100
READ       47  1100110011001100
READ       48  1100110011001100
READ       49  1100110011001100
READ       50  1100110011001100
READ       51  1100110011001100
READ       52  1100110011001100
READ       53  1100110011001100
READ       54  1100110011001100
READ       55  1100110011001100
Main: Ending execution
